event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX boils the noodles,"[""none"", ""none"", ""none""]","[""thankful"", ""hungry"", ""none"", ""none""]","[""none"", ""to eat them"", ""to help them clean up""]","[""hungry"", ""Chinese"", ""capable"", ""hungry"", ""hungry"", ""chef like"", ""cooking"", ""preparing""]","[""PersonX overcooks the pasta"", ""PersonX undersalts the water"", ""gets an edible meal to eat"", ""has dirty dishes to clean"", ""gets excited to eat the noodles"", ""no effect""]","[""to make food"", ""to have a meal"", ""to eat"", ""to eat noodles""]","[""Get pot"", ""Turn stovetop on"", ""Open noodle"", ""Pore noodles in pot of water"", ""to get water boiling"", ""to put the noodles in the water""]","[""hungry"", ""saited"", ""full"", ""slurpy""]","[""Drain the noodles"", ""Put noodles in bowl"", ""Eat the noodles"", ""to strain the noodles"", ""to put sauce on them""]","[""boils"", ""noodles""]",dev
PersonX boils the water,"[""none""]","[""none"", ""none""]","[""none"", ""share a meal"", ""relax"", ""none"", ""none""]","[""knowledgeable"", ""pragmatic"", ""dependable"", ""patient"", ""hungry""]","[""to cook"", ""to drink""]","[""to have tea"", ""to have hot water"", ""to eat instant ramen""]","[""cook noodle"", ""turn on stove"", ""get a pot"", ""pour out water"", ""get a pot"", ""pour water"", ""put water in hot pot"", ""place hot pot on stove"", ""turn on switch""]","[""helpful"", ""depressed for eating cheap food""]","[""stir noodle"", ""turn off stove"", ""make dinner"", ""clean up"", ""make tea"", ""make soup"", ""await the bubbling form and sound"", ""turn off the switch""]","[""boils"", ""water""]",trn
PersonX boils water,"[""maybe boiled water is used for the consumption of someone else"", ""hot water to be shared"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""active"", ""brave"", ""workaholic"", ""ready"", ""careless"", ""absentminded""]","[""none"", ""none"", ""none""]","[""to make coffee"", ""to make tea""]","[""Needs a pot"", ""Needs water"", ""fill kettle"", ""put kettle on stove"", ""turn on burner"", ""get water"", ""get water on the stove""]","[""ready to go"", ""sated""]","[""to drink"", ""to put some vegetables"", ""make tea"", ""drink tea"", ""to have some tea"", ""to cook egg""]","[""boils"", ""water""]",trn
PersonX boils water for minutes,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""patient"", ""diligent"", ""Working"", ""Preparing"", ""patient"", ""culinary""]","[""forgets water"", ""gets burned"", ""spills water"", ""Turns heat down"", ""Puts something in the water"", ""makes soup"", ""makes tea""]","[""to have clean water"", ""to cook"", ""purify the water"", ""cook with the water""]","[""to put water in a pot"", ""to turn on the stove"", ""none""]","[""in control"", ""content"", ""glad water is purified""]","[""to pour the water into a cup"", ""to put a tea bag in the water"", ""to cook food"", ""to eat"", ""to wash dishes""]","[""boils"", ""water""]",trn
PersonX boldly goes where no man has gone before,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""worried""]","[""none""]","[""adventorous"", ""brave"", ""curious"", ""adventurous"", ""brave"", ""brave"", ""adventerous"", ""bold""]","[""He encounters what no man has encountered before."", ""PersonX makes history as the first to do so."", ""praised"", ""thanked"", ""discovers new galaxies"", ""learns things not yet known"", ""meets new people"", ""gets lost""]","[""to achieve something new and wants to go beyond anyone has ever gone."", ""to be remembered"", ""to be pineering""]","[""none""]","[""proud, happy, accomplished something great."", ""proud"", ""alone""]","[""to be a trendsetter"", ""to be a trail blazer""]","[""boldly"", ""goes""]",trn
PersonX books PersonX's trip,"[""none""]","[""none"", ""happy"", ""none""]","[""none"", ""go to event"", ""cancel event""]","[""excited"", ""anxious"", ""excited"", ""eager"", ""adventurous"", ""traveled""]","[""buys things for the trip"", ""cancels the trip""]","[""to go away"", ""vacation"", ""to go on vacation"", ""to see some sights"", ""to be prepared for his vacation""]","[""talk to travel agent"", ""buy tickets"", ""Go online"", ""buy ticket""]","[""satisfied"", ""happy"", ""ready to go"", ""happy"", ""anticipation"", ""hopeful and happy""]","[""pack bags"", ""buy sunscreen"", ""Tell person Y"", ""shut off computer""]","[""books"", ""trip""]",trn
PersonX books PersonY's trip,"[""owes the other person"", ""is forced to go with the decisions the other person made"", ""recieves ticket"", ""recieves reciet""]","[""happy."", ""thankful"", ""relieved that the trip is booked""]","[""pay for the trip"", ""take their vacation"", ""to see the itinerary"", ""to ask PersonX to email them everything"", ""to pay by credit card"", ""to go on the trip"", ""to have fun""]","[""a booking agent"", ""helpful"", ""helpful"", ""reliable"", ""ready"", ""eager""]","[""has to be compensated by the other person"", ""is responsible for how the trip amenities turn out"", ""gets thanked"", ""loses money""]","[""to give persony a graduation present."", ""to do a job"", ""to be helpful"", ""be helpful""]","[""discuss the trip with personY"", ""research the trip"", ""to find out where PersonY wants to go"", ""to work as a booking agent"", ""to talk to person Y"", ""to go online""]","[""happy."", ""satisfied"", ""useful""]","[""send personY an itenarary"", ""bill personY"", ""to ask PersonY to make payment"", ""to give PersonY all details of the itinerary"", ""to offer PersonY options"", ""to give person Y the info"", ""to wait for person Y to arrive""]","[""books"", ""trip""]",trn
PersonX books a flight,"[""none"", ""none"", ""none""]","[""none"", ""glad"", ""none""]","[""to sell them their ticket"", ""to make sure they know the flight schedule"", ""none""]","[""competent"", ""hopeful"", ""travelling"", ""on vacation"", ""Adventurous"", ""Outgoing""]","[""closes his laptop"", ""checks his email"", ""books a car rental"", ""packs his bags"", ""jumps in shock"", ""sad""]","[""to travel"", ""to take a trip"", ""to go to europe""]","[""to check the prices"", ""to call the agent"", ""get a credit card"", ""log into a website"", ""check the schedule"", ""pick a destination""]","[""excited"", ""restless"", ""excited""]","[""to go on the flight"", ""to enjoy their vacation"", ""to pack bags"", ""to get a visa"", ""to go shopping""]","[""books"", ""flight""]",trn
PersonX books a hotel,"[""none"", ""the hotel makes money from personX"", ""the hotel pays for costs to run the hotel""]","[""elated"", ""none"", ""none""]","[""none"", ""none""]","[""proactive"", ""ready"", ""planning"", ""adventurous"", ""organized"", ""anticpatory"", ""competent""]","[""Gets some rest"", ""Watches TV in hotel room"", ""They travel  and stay in a hotel"", ""they pay money to the hotel""]","[""to spend his vacation"", ""a place to stay"", ""to go on vacation"", ""to visit somewhere"", ""to stay during the trip""]","[""to research online."", ""check their credit card balance."", ""do research"", ""to find information""]","[""excited about it"", ""prepared"", ""relieved"", ""happy"", ""ready""]","[""to tell their spouse what they decided on."", ""To start packing luggage."", ""to go for a vacation"", ""to go for a holiday""]","[""books"", ""hotel""]",trn
PersonX books a ticket,"[""none""]","[""happy"", ""anticipation"", ""excitement"", ""none""]","[""none"", ""none"", ""none""]","[""organized"", ""mature"", ""determined"", ""interested"", ""prepared"", ""responsible""]","[""PersonX smiles"", ""PersonX receives a receipt""]","[""to travel somewhere"", ""to visit a friend"", ""to have a ticket""]","[""none"", ""search out prices"", ""contact an agent"", ""see the movie trailer"", ""go online""]","[""excited"", ""interested"", ""thrilled""]","[""to go to the airport"", ""to get on the plane"", ""arrive on time"", ""get a good seat"", ""go to theater"", ""get a pop corn""]","[""books"", ""ticket""]",tst
PersonX books a trip,"[""none"", ""none"", ""none""]","[""none"", ""of service""]","[""none"", ""none""]","[""adventerous"", ""capable"", ""stressed"", ""hopeful"", ""eager"", ""excited""]","[""personx going to the trip"", ""starts packing"", ""informs their friends that they will be leaving"", ""pays"", ""checks dates""]","[""to travel"", ""to go on vacation""]","[""find a flight"", ""buy tickets"", ""select a destination"", ""arrange transportation"", ""book lodging"", ""to plan where they want to do"", ""to book a hotel room""]","[""excited"", ""like they need a rest""]","[""to go someplace"", ""to travel"", ""to buy new clothes"", ""to plan activities""]","[""books"", ""trip""]",trn
PersonX boos PersonY off the stage,"[""They storm off the stage in the huffs"", ""They run back to their dressing room"", ""presony looks embarassed"", ""persony leaves stage""]","[""sad"", ""sad""]","[""to cry (PersonY)"", ""to fight (PersonY)"", ""to give up (PersonY)"", ""to not care (PersonY)"", ""go home"", ""cry"", ""to explain why he lost his voice."", ""to refund the ticket money.""]","[""rude"", ""aggresive"", ""rude"", ""mean spirited"", ""rude"", ""mean""]","[""They laugh as person Y leaves the stage"", ""They cheer was person y walks away"", ""none""]","[""to get her off the stage."", ""to communicate their displeasure""]","[""watch the performance"", ""decide waht they are watching is not good"", ""get mad"", ""get offended"", ""none"", ""to watch the performance"", ""to attend an event""]","[""like a bully"", ""satisfied""]","[""yell at the performers"", ""leave the venue"", ""complain to others"", ""leave bad reviews"", ""to see rest of show"", ""leave concert"", ""to leave."", ""to stop going to PersonY's concerts.""]","[""boos"", ""stage""]",trn
PersonX boos ___ off the stage,"[""none"", ""cries"", ""pulled off stage"", ""could not be heard above the boos"", ""received angry looks""]","[""hurt"", ""sad"", ""sad""]","[""to feel sad"", ""to feel unloved"", ""To hurry up off the stage."", ""to confront PersonX"", ""none""]","[""rude"", ""dissatisfied"", ""disappointed"", ""disapproving"", ""unfriendly"", ""bad""]","[""leaves the stage"", ""keeps practicing"", ""yelled at"", ""encouraged"", ""throat is hoarse from yelling"", ""face turns angry red""]","[""none"", ""to show disapproval"", ""to get rid of someone""]","[""to watch a performance"", ""to see an act on stage"", ""to get a ride to the event."", ""to get ready for the night."", ""none""]","[""justified"", ""sad"", ""annoyed""]","[""to watch the next act"", ""to forget about the previous act"", ""to apologize."", ""to avoid PersonY"", ""to see a new act"", ""not to see them perform again""]","[""boos"", ""stage""]",trn
PersonX bores PersonY a son,"[""none"", ""none"", ""Must go to hospital"", ""Has responsibilities as father""]","[""bored"", ""like they have started a family"", ""excited""]","[""to take care of the baby"", ""to thank PersonX"", ""to see the baby."", ""to hug person X."", ""To call relatives"", ""to see their son"", ""to congratulate personx"", ""to meet the new child""]","[""maternal"", ""protective"", ""boring"", ""tedious"", ""uninteresting""]","[""GETS ENTERTAIN"", ""BE A FUN"", ""NONE"", ""NONE"", ""none"", ""Goes through labor"", ""Must go to hospital""]","[""none"", ""to have that experience with them"", ""to be a parent""]","[""have a relationship"", ""have sex"", ""to get pregnant."", ""to go into labor."", ""To have sex with persony"", ""to give birth"", ""none"", ""get pregnant"", ""sleep together""]","[""sad"", ""like they are a family"", ""happy""]","[""to love the baby"", ""to give the baby basic needs"", ""to hold their son."", ""to name their son."", ""To hold their son"", ""to feed their son"", ""to rest"", ""to meet new child""]","[""bores"", ""son""]",trn
PersonX bores PersonY children,"[""none"", ""they politely listen to Person X."", ""they yawn."", ""KIDS WANT PERSONX TO EXIT THE HOUSE"", ""PERSONY WOULD LIKE FOR PERSONX TO QUIT TALKING""]","[""none""]","[""PersonX to stop talking."", ""PersonX to talk about something more interesting.""]","[""boring"", ""dull"", ""old"", ""boring""]","[""none"", ""none"", ""none""]","[""childer expression""]","[""to tell boring stories"", ""to make them sit in the house"", ""to not let the children play"", ""to be at personYs house"", ""to tell not funny jokes""]","[""good think in child""]","[""the children to understand what it was like back in the day."", ""the children to like him.""]","[""bores"", ""children""]",trn
PersonX bores PersonY's name,"[""falls asleep"", ""gets asked questions"", ""has someone to carry on their legacy"", ""develops a connection to PersonX""]","[""proud"", ""angry""]","[""none"", ""none"", ""to find PersonX"", ""to wonder what PersonX is doing""]","[""proud"", ""show off"", ""happy"", ""married"", ""familial"", ""personable""]","[""gets told to shut up"", ""gets sent away"", ""carries on PersonY's legacy"", ""compared by others to PersonY""]","[""to be respectful"", ""to steal persony's identity""]","[""none"", ""to have their name legally changed"", ""marry PersonX"", ""to know PersonY's name"", ""to change their legal name""]","[""happy"", ""nervous"", ""doubtful""]","[""xx"", ""xx"", ""to tell everyone their new name"", ""to change their name on social media"", ""to act like PersonY"", ""to look like PersonY""]","[""bores"", ""name""]",trn
PersonX born this ___ in the city,"[""none"", ""none"", ""none""]","[""none""]",[],"[""lucky"", ""happy"", ""aging"", ""growing up"", ""young"", ""immature""]","[""Person X grows up."", ""Person X calls that city their hometown."", ""PersonX grows up in the city."", ""PersonX knows how to take public transit."", ""celebrate their birthday"", ""they mark the event on a calendar?""]","[""enter life""]",[],"[""alive""]",[],"[""born"", ""city""]",trn
PersonX borrows PersonY's car,"[""Loses transportation"", ""Loses equity in vehicle"", ""Assumes responsibility for person x's driving"", ""gets thanked"", ""gets a compliment in return""]","[""helpful"", ""none"", ""relieved"", ""helpful""]","[""to get the car back"", ""to get back the keys"", ""to drive PersonX home"", ""none"", ""to wait for PersonX to come back"", ""to hope that the car stays safe""]","[""grateful"", ""determined"", ""needy"", ""grateful"", ""persuasive"", ""competent""]","[""Uses gas"", ""Exerts wear and tear"", ""checksout the fuel and engine condition"", ""becomes grateful towards y""]","[""to go for a drive"", ""to use this car because their own car is being repaired"", ""to go somewhere"", ""to pick something up""]","[""none"", ""to go somewheree"", ""relationship with PersonY"", ""to go to PersonY"", ""to ask to borrow PersonY's car""]","[""speedy"", ""grateful"", ""grateful"", ""thankful""]","[""to drive to the mall"", ""go to the doctor"", ""to avoid walking"", ""to drive"", ""to get to their destination"", ""to keep the car safe""]","[""borrows"", ""car""]",tst
